CHANGE_NO,PROJECT_NAME,PROJECT_MANAGER,CHANGE_TYPE,DESCRIPTION,DATE_IDENTIFIED,STATUS,PRIORITY,ASSIGNED_TO,RESOLUTION_EXPECTED,ACTION,AREA_OF_IMPACT,ESCALATION_REQUIRED,DATE_RESOLVED,SYSTEM_AFFECTED,ESTIMATED_DURATION_HOURS,TEAM_SIZE,COMPLEXITY_SCORE,REQUIRES_DOWNTIME,HAS_DEPENDENCIES,BUSINESS_IMPACT,TECHNICAL_RISK,CONFLICT_PROBABILITY,HAS_CONFLICT
CR-01497,مشروع حجار Ltd,عبدالرحمن الحربي,Monitoring,تحسين أداء استعلامات قاعدة البيانات المعقدة,11/08/2025,Approved,Low,أسماء الغامدي,17 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Quality,NO,30/08/2025,API Gateway,20,1,3.6,NO,YES,High,Medium,0.0,0
CR-01498,"مشروع شربتلي, آل رفيع and آل رفيع",عمر حسان,Analytics,إضافة دعم اللغات المتعددة للموقع الإلكتروني,25/06/2025,Open,High,عائشة الزهراني,4 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Compliance,NO,,Notification Service,9,7,1.8,NO,YES,High,Low,0.239,0
CR-01499,"مشروع آل سعود, الحكير and كانو",فاطمة علي,Mobile,إضافة ميزة البحث الصوتي في التطبيق,08/03/2025,Needs Review,Critical,إبراهيم العتيبي,1 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Scope,NO,,Load Balancer,3,7,1.3,NO,YES,High,High,0.517,1
CR-01500,مشروع آل عايض LLC,خديجة المطيري,Documentation,تحسين أداء استعلامات قاعدة البيانات المعقدة,27/02/2025,In Progress,High,خديجة المطيري,3 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Quality,YES,,Database Server,14,2,9.7,NO,NO,Medium,High,0.43,0
CR-01501,مشروع Guerrero-Jones,محمد الأحمد,Monitoring,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,30/06/2025,Approved,Critical,حسان الراشد,3 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Quality,NO,07/07/2025,Backup System,5,4,9.8,NO,NO,Medium,Medium,0.434,0
CR-01502,مشروع Hammond-Schwartz,مريم خليل,Analytics,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,20/04/2025,Complete,Medium,خالد إبراهيم,7 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Quality,NO,27/04/2025,Web Server,14,3,2.6,YES,NO,Medium,Medium,0.0,0
CR-01503,مشروع Martin-Jones,محمد الأحمد,Configuration,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,25/05/2025,In Progress,Medium,عائشة الزهراني,11 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Budget,NO,,Payment Gateway,15,7,3.2,NO,NO,Low,Medium,0.046,0
CR-01504,مشروع الحكير-الجابر,سارة محمد,Analytics,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,05/08/2025,On Hold,Medium,علي المالكي,8 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Compliance,NO,,CDN Service,8,5,1.9,NO,NO,Medium,High,0.157,1
CR-01505,مشروع آل محمد بن علي بن جماز-آل عايض,محمد الأحمد,Database,إصلاح مشكلة انقطاع الاتصال مع الخادم الرئيسي,25/04/2025,Approved,Low,أحمد السعودي,20 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Schedule,NO,19/05/2025,CDN Service,31,4,8.0,NO,NO,High,Medium,0.732,1
CR-01506,مشروع Vasquez and Sons,رقية الشمري,Configuration,إضافة نظام مراقبة الأداء في الوقت الفعلي,09/04/2025,Open,Medium,عائشة الزهراني,13 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Schedule,YES,,Payment Gateway,22,6,7.6,NO,NO,High,Medium,0.0,0
CR-01507,مشروع Brewer Inc,عمر حسان,Database,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,25/06/2025,Complete,Medium,عمر حسان,10 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Resources,NO,06/07/2025,SMS Gateway,20,2,1.7,NO,NO,Low,Medium,0.34,0
CR-01508,"مشروع الراشد, آل علي and حنبولي",عمر حسان,Security,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,15/08/2025,Open,High,علي المالكي,5 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Scope,NO,,Email Service,10,10,3.9,NO,NO,Low,Medium,0.205,0
CR-01509,مشروع آل محمد بن علي بن جماز-آل خضير,خالد إبراهيم,Documentation,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,14/07/2025,On Hold,High,حسان الراشد,3 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Security,NO,,SMS Gateway,3,3,7.0,NO,YES,Low,High,0.243,1
CR-01510,مشروع آل جعفر PLC,يوسف محمود,Integration,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,14/03/2025,Approved,High,ليلى سعيد,2 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Security,NO,17/03/2025,CDN Service,6,10,4.6,NO,NO,Low,Medium,0.445,1
CR-01511,مشروع Smith-Jimenez,يوسف محمود,Integration,إضافة ميزة التصفية المتقدمة في نظام البحث العام,10/07/2025,Rejected,Medium,نور عبدالله,11 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Compliance,NO,,Load Balancer,6,8,3.1,NO,NO,Low,Low,0.07,0
CR-01512,مشروع كانو Group,عبدالعزيز الدوسري,Frontend,إضافة دعم اللغات المتعددة للموقع الإلكتروني,28/07/2025,Approved,Low,خديجة المطيري,24 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Compliance,NO,21/08/2025,Web Server,51,9,4.8,NO,NO,Medium,Medium,0.238,0
CR-01513,مشروع Graves Group,أسماء الغامدي,Monitoring,إضافة ميزة التصفية المتقدمة في نظام البحث العام,25/04/2025,Open,Medium,علي المالكي,14 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Resources,YES,,API Gateway,48,4,1.3,NO,NO,High,Low,0.308,1
CR-01514,"مشروع العليان, العقيل and الراشد",نور عبدالله,Monitoring,تحديث خوارزمية التشفير للبيانات الحساسة والمعلومات المالية,05/07/2025,Open,Medium,عبدالعزيز الدوسري,10 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Performance,NO,,Audit System,15,1,8.0,NO,NO,Medium,Medium,0.0,0
CR-01515,"مشروع Norman, Floyd and Fernandez",أحمد السعودي,Configuration,إصلاح مشكلة في عرض التقارير المالية,28/06/2025,In Progress,Critical,سارة محمد,2 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Quality,YES,,Reporting System,8,7,9.7,YES,NO,Low,Medium,0.54,1
CR-01516,مشروع العقيل-آل رفيع,علي المالكي,Configuration,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,22/06/2025,In Progress,High,عبدالعزيز الدوسري,4 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Compliance,NO,,File Storage System,19,5,9.0,NO,NO,Medium,Low,0.3,0
CR-01517,مشروع Maldonado-Morales,حسان الراشد,Configuration,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,18/03/2025,Open,High,سارة محمد,5 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Security,NO,,API Gateway,13,4,4.2,NO,NO,Low,High,0.228,0
CR-01518,مشروع المهنا-الجابر,حسان الراشد,Backend,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,21/08/2025,Open,High,زينب القرشي,3 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Quality,NO,,CDN Service,3,8,5.0,NO,NO,Low,Medium,0.777,1
CR-01519,مشروع آل مقطة-فصيل,ليلى سعيد,Monitoring,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,24/03/2025,In Progress,Low,يوسف محمود,30 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Performance,NO,,Audit System,47,10,5.2,NO,NO,Low,High,0.141,0
CR-01520,مشروع المهيدب Inc,زينب القرشي,Frontend,إضافة نظام مراقبة الأداء في الوقت الفعلي,26/02/2025,Open,High,يوسف محمود,4 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Resources,NO,,SMS Gateway,5,4,9.9,NO,NO,Low,Medium,0.248,1
CR-01521,"مشروع Lee, Dominguez and Mosley",محمد الأحمد,Integration,إضافة ميزة التصدير إلى ملفات Excel و PDF,15/05/2025,On Hold,Medium,علي المالكي,13 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Resources,NO,,File Storage System,43,7,6.9,NO,YES,High,Low,0.355,0
CR-01522,مشروع Miller-Chen,حسان الراشد,Infrastructure,إضافة ميزة التصفية المتقدمة في نظام البحث العام,28/04/2025,Needs Review,Low,مريم خليل,18 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Schedule,NO,,Email Service,39,7,6.1,NO,NO,Low,Medium,0.724,1
CR-01523,مشروع آل بن ظافر and Sons,حسان الراشد,Integration,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,28/07/2025,Needs Review,High,عبدالعزيز الدوسري,6 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Resources,NO,,Notification Service,9,4,6.2,NO,NO,Medium,Medium,0.45,0
CR-01524,"مشروع بن لادن, آل قصير and العليان",محمد الأحمد,Configuration,إضافة دعم اللغات المتعددة للموقع الإلكتروني,04/05/2025,On Hold,Critical,زينب القرشي,1 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Compliance,NO,,Reporting System,3,4,9.9,NO,YES,High,High,0.344,1
CR-01525,مشروع Sparks Ltd,أحمد السعودي,Mobile,إضافة ميزة البحث الصوتي في التطبيق,14/08/2025,Approved,Medium,عبدالعزيز الدوسري,14 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Quality,NO,29/08/2025,Cache Server,21,1,7.2,YES,YES,High,High,0.0,0
CR-01526,مشروع Ferguson-Flowers,عائشة الزهراني,Documentation,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,25/03/2025,On Hold,Medium,مريم خليل,12 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Security,NO,,Payment Gateway,24,6,4.0,YES,YES,Medium,Low,0.0,0
CR-01527,مشروع Johnson Inc,زينب القرشي,Frontend,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,23/07/2025,Complete,High,علي المالكي,2 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Quality,NO,25/07/2025,Web Server,9,10,3.0,YES,NO,High,Low,0.213,0
CR-01528,"مشروع Williams, Wilson and Roman",عبدالرحمن الحربي,Database,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,09/03/2025,Complete,High,علي المالكي,7 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Security,YES,17/03/2025,Web Server,13,4,4.0,NO,YES,Low,Low,0.441,1
CR-01529,"مشروع Berg, Herrera and Figueroa",عبدالعزيز الدوسري,Monitoring,إضافة ميزة التصدير إلى ملفات Excel و PDF,21/05/2025,In Progress,Low,يوسف محمود,10 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Resources,NO,,CDN Service,57,6,6.0,NO,YES,Medium,High,0.391,1
CR-01530,مشروع آل بن ظافر Ltd,خديجة المطيري,Infrastructure,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,13/04/2025,Approved,Low,عائشة الزهراني,22 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Scope,NO,08/05/2025,Email Service,51,5,9.0,NO,NO,Medium,High,0.525,1
CR-01531,مشروع فصيل-آل العسكري,عبدالرحمن الحربي,Configuration,تحديث مكتبات الأمان ضد الثغرات الأمنية الجديدة,13/04/2025,Open,Medium,نور عبدالله,7 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Security,NO,,Mobile Application,6,4,6.9,NO,NO,High,Medium,0.057,0
CR-01532,"مشروع Williams, Haynes and Anderson",علي المالكي,Infrastructure,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,28/02/2025,Approved,High,أحمد السعودي,7 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Performance,NO,13/03/2025,Notification Service,16,3,6.1,NO,YES,Medium,Low,0.751,1
CR-01533,"مشروع آل بن لافي, أبا الخيل and آل خضير",رقية الشمري,Configuration,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,06/05/2025,Open,Medium,مريم خليل,5 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Compliance,NO,,Audit System,13,5,2.7,NO,YES,Medium,Medium,0.066,0
CR-01534,"مشروع Jackson, Garza and Meyers",عائشة الزهراني,Infrastructure,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,05/03/2025,Complete,Low,نور عبدالله,20 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Resources,NO,27/03/2025,API Gateway,9,7,4.5,NO,YES,Low,Medium,0.169,0
CR-01535,مشروع العليان PLC,خالد إبراهيم,Documentation,إضافة ميزة التصدير إلى ملفات Excel و PDF,11/04/2025,Approved,High,ليلى سعيد,7 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Quality,YES,21/04/2025,Email Service,7,1,2.2,NO,YES,Medium,Medium,0.16,0
CR-01536,مشروع آل عطفة Group,ليلى سعيد,Integration,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,06/06/2025,On Hold,Medium,حسان الراشد,8 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Compliance,NO,,Database Server,17,8,1.6,NO,YES,Medium,Medium,0.463,1
CR-01537,"مشروع Gregory, Nguyen and Daugherty",رقية الشمري,API,إضافة ميزة التصدير إلى ملفات Excel و PDF,20/08/2025,Complete,Medium,أسماء الغامدي,12 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Performance,YES,01/09/2025,Backup System,27,4,9.1,NO,YES,Low,Medium,0.431,1
CR-01538,مشروع آل علي-آل بن ظافر,ليلى سعيد,Frontend,تحديث بروتوكولات الأمان للشبكة الداخلية,10/03/2025,Approved,Medium,عبدالعزيز الدوسري,10 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Resources,NO,20/03/2025,Reporting System,17,8,2.5,NO,YES,Low,Medium,0.0,0
CR-01539,مشروع آل جعفر-آل رفيع,عمر حسان,Backend,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,03/03/2025,Open,Medium,أحمد السعودي,7 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Compliance,NO,,Reporting System,6,3,9.6,NO,NO,Medium,Medium,0.338,1
CR-01540,مشروع Todd and Sons,زينب القرشي,Frontend,إصلاح مشكلة في معالجة المدفوعات الإلكترونية,12/08/2025,Open,High,خديجة المطيري,2 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Schedule,YES,,File Storage System,13,8,6.8,NO,NO,Low,High,0.418,0
CR-01541,"مشروع Martin, Sanchez and Perkins",أسماء الغامدي,Documentation,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,19/08/2025,In Progress,Low,حسان الراشد,18 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Security,NO,,Email Service,54,6,6.8,NO,NO,High,High,0.032,0
CR-01542,مشروع شربتلي PLC,عمر حسان,Mobile,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,23/04/2025,Complete,Critical,خالد إبراهيم,1 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Budget,NO,26/04/2025,Load Balancer,8,10,8.0,NO,YES,Low,High,0.302,0
CR-01543,مشروع Smith Group,خالد إبراهيم,Configuration,تحسين أداء استعلامات قاعدة البيانات المعقدة,22/05/2025,Open,High,رقية الشمري,6 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Scope,NO,,Analytics Platform,11,8,6.2,NO,NO,High,Medium,0.314,0
CR-01544,مشروع آل الشيخ and Sons,عبدالرحمن الحربي,Frontend,إضافة دعم اللغات المتعددة للموقع الإلكتروني,15/03/2025,Approved,Low,سارة محمد,14 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Performance,NO,30/03/2025,Database Server,12,9,4.7,NO,YES,Medium,Medium,0.494,1
CR-01545,"مشروع فصيل, بن لادن and آل مقطة",سارة محمد,Database,تحسين سرعة تحميل الصفحات الرئيسية,31/07/2025,In Progress,Medium,ليلى سعيد,12 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Quality,NO,,Authentication Service,7,6,1.9,NO,YES,Low,Low,0.559,1
CR-01546,"مشروع Aguirre, Barton and Schwartz",فاطمة علي,Integration,تحديث نظام المصادقة الثنائية لمزيد من الأمان,01/08/2025,On Hold,Medium,فاطمة علي,10 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Quality,NO,,Reporting System,15,3,9.1,YES,NO,Medium,High,0.079,0
CR-01547,مشروع شربتلي LLC,مريم خليل,Analytics,إصلاح مشكلة انقطاع الاتصال مع الخادم الرئيسي,03/06/2025,Approved,Low,خالد إبراهيم,17 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Security,NO,27/06/2025,Reporting System,30,3,4.4,NO,YES,Low,Low,0.155,1
CR-01548,مشروع Allen-Thompson,يوسف محمود,Monitoring,تحديث بروتوكولات الأمان للشبكة الداخلية,17/05/2025,Open,Medium,أحمد السعودي,14 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Scope,YES,,Reporting System,45,4,9.8,NO,YES,Medium,Low,0.215,0
CR-01549,"مشروع آل عايض, العليان and حنبولي",إبراهيم العتيبي,Infrastructure,إضافة ميزة التصدير إلى ملفات Excel و PDF,10/05/2025,On Hold,Medium,عبدالعزيز الدوسري,5 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Budget,NO,,Load Balancer,23,5,5.2,NO,NO,Medium,Low,0.451,0
CR-01550,"مشروع أبا الخيل, الجفالي and الدباغ",عمر حسان,Database,إضافة ميزة التصدير إلى ملفات Excel و PDF,07/04/2025,Approved,High,محمد الأحمد,6 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Compliance,NO,19/04/2025,SMS Gateway,23,8,3.3,NO,NO,Low,High,0.83,1
CR-01551,"مشروع آل قصير, آل عطفة and آل رفيع",أسماء الغامدي,Frontend,تحديث بروتوكولات الأمان للشبكة الداخلية,22/08/2025,Open,Medium,محمد الأحمد,11 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Scope,NO,,Analytics Platform,44,5,2.7,NO,YES,Medium,Low,0.297,1
CR-01552,"مشروع الحجار, المهنا and المشاولة",أحمد السعودي,Documentation,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,01/07/2025,Rejected,High,عمر حسان,3 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Performance,NO,,Email Service,7,9,1.8,NO,YES,High,Medium,0.374,0
CR-01553,مشروع شربتلي-كانو,خالد إبراهيم,Frontend,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,28/07/2025,Needs Review,Critical,مريم خليل,3 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Schedule,YES,,User Management System,6,6,9.3,NO,NO,Medium,High,0.372,0
CR-01554,مشروع آل بن لافي-آل عطفة,عبدالعزيز الدوسري,Backend,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,09/06/2025,In Progress,Medium,ليلى سعيد,7 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Scope,NO,,Payment Gateway,41,8,7.0,NO,YES,Medium,Medium,0.595,0
CR-01555,مشروع مهنا Group,نور عبدالله,Monitoring,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,04/04/2025,Needs Review,High,زينب القرشي,3 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Schedule,NO,,Backup System,21,6,7.0,YES,YES,Medium,Medium,0.417,0
CR-01556,مشروع Moore Inc,ليلى سعيد,Mobile,تحسين سرعة تحميل الصفحات الرئيسية,02/08/2025,Approved,Medium,خديجة المطيري,13 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Budget,NO,16/08/2025,User Management System,25,5,6.2,NO,YES,Low,High,0.158,0
CR-01557,"مشروع الحجار, آل مقطة and آل علي",نور عبدالله,Analytics,إضافة ميزة التصفية المتقدمة في نظام البحث العام,22/04/2025,Open,Low,عائشة الزهراني,12 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Resources,NO,,Mobile Application,12,9,7.0,YES,YES,Medium,High,0.0,0
CR-01558,مشروع Cook-Trujillo,خديجة المطيري,Analytics,تحديث نظام المصادقة الثنائية لمزيد من الأمان,24/03/2025,In Progress,High,علي المالكي,6 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Budget,NO,,SMS Gateway,6,2,7.9,NO,NO,Medium,Medium,0.461,0
CR-01559,مشروع Garcia Inc,مريم خليل,Mobile,إضافة ميزة البحث الصوتي في التطبيق,24/03/2025,Open,Medium,خالد إبراهيم,9 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Budget,NO,,Email Service,39,1,8.2,YES,YES,Medium,High,0.261,0
CR-01560,مشروع آل العسكري Group,محمد الأحمد,Integration,إضافة دعم اللغات المتعددة للموقع الإلكتروني,10/04/2025,On Hold,Low,محمد الأحمد,25 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Security,YES,,Cache Server,58,7,3.5,YES,NO,Medium,Medium,0.291,0
CR-01561,مشروع آل قصير Ltd,مريم خليل,Analytics,إضافة نظام مراقبة الأداء في الوقت الفعلي,06/06/2025,In Progress,Medium,نور عبدالله,6 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Quality,NO,,File Storage System,42,7,8.3,YES,NO,Medium,Low,0.231,1
CR-01562,"مشروع Riley, Barnes and Burgess",مريم خليل,API,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,10/04/2025,In Progress,Medium,أسماء الغامدي,7 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Scope,NO,,API Gateway,5,2,3.5,NO,YES,Medium,Low,0.392,1
CR-01563,مشروع Maxwell LLC,زينب القرشي,Mobile,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,28/06/2025,Approved,Medium,أسماء الغامدي,6 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Resources,NO,11/07/2025,Audit System,9,10,7.2,YES,YES,High,Medium,0.159,0
CR-01564,مشروع آل قصير Ltd,أحمد السعودي,Monitoring,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,20/03/2025,Open,Medium,ليلى سعيد,13 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,NO,,Mobile Application,48,7,1.2,NO,NO,High,Low,0.16,0
CR-01565,مشروع Bennett and Sons,يوسف محمود,Analytics,تحديث بروتوكولات الأمان للشبكة الداخلية,19/08/2025,Needs Review,High,نور عبدالله,7 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Performance,YES,,Mobile Application,2,4,5.9,NO,YES,High,Low,0.219,0
CR-01566,مشروع بن لادن-العليان,ليلى سعيد,API,إضافة دعم اللغات المتعددة للموقع الإلكتروني,13/04/2025,Open,Low,ليلى سعيد,20 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Budget,NO,,User Management System,7,6,6.0,NO,NO,Medium,Medium,0.398,1
CR-01567,مشروع آل سلطان-آل علي,سارة محمد,Configuration,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,06/04/2025,Open,Medium,عبدالرحمن الحربي,7 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Security,NO,,Monitoring Dashboard,46,3,8.4,YES,YES,Medium,Medium,0.234,0
CR-01568,مشروع Hughes and Sons,إبراهيم العتيبي,Backend,إضافة ميزة التصدير إلى ملفات Excel و PDF,15/06/2025,Open,High,علي المالكي,3 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Scope,NO,,Notification Service,19,4,8.3,YES,NO,Low,Medium,0.898,1
CR-01569,"مشروع Lee, Howard and Nelson",علي المالكي,Analytics,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,08/06/2025,Complete,Low,علي المالكي,26 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Schedule,NO,05/07/2025,Authentication Service,45,4,4.9,NO,NO,Medium,Low,0.165,0
CR-01570,مشروع Johnson PLC,نور عبدالله,API,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,13/05/2025,Open,High,ليلى سعيد,2 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Quality,NO,,User Management System,8,2,7.1,YES,YES,Low,Medium,0.847,1
CR-01571,مشروع آل سعود-آل رفيع,عمر حسان,Analytics,إضافة دعم اللغات المتعددة للموقع الإلكتروني,04/07/2025,In Progress,Medium,رقية الشمري,10 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Budget,NO,,Notification Service,15,7,9.6,NO,NO,Medium,Low,0.038,0
CR-01572,مشروع Barnes-Wolf,عائشة الزهراني,Documentation,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,27/06/2025,Open,Medium,نور عبدالله,6 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Schedule,NO,,Analytics Platform,45,5,3.2,NO,YES,Medium,Medium,0.013,0
CR-01573,مشروع حجار-آل صفوان,إبراهيم العتيبي,Integration,إصلاح مشكلة في عرض التقارير المالية,15/03/2025,Needs Review,Critical,فاطمة علي,2 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Security,NO,,Web Server,8,10,8.7,NO,NO,Medium,Medium,0.687,1
CR-01574,"مشروع المهيدب, آل عواض and آل حسين",أحمد السعودي,Backend,إصلاح مشكلة في عرض التقارير المالية,07/08/2025,Needs Review,Medium,خالد إبراهيم,9 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Security,NO,,Search Engine,26,7,4.3,NO,NO,Medium,Low,0.698,1
CR-01575,"مشروع Burns, Forbes and Vargas",فاطمة علي,Mobile,إصلاح مشكلة انقطاع الاتصال مع الخادم الرئيسي,06/06/2025,Needs Review,High,محمد الأحمد,3 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Scope,NO,,Analytics Platform,21,5,6.6,YES,NO,Medium,Medium,0.461,0
CR-01576,مشروع Smith-Patterson,أحمد السعودي,Integration,إضافة ميزة البحث الصوتي في التطبيق,25/07/2025,Approved,Medium,عبدالرحمن الحربي,10 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Resources,NO,07/08/2025,Mobile Application,24,3,6.2,NO,YES,Medium,High,0.081,0
CR-01577,مشروع أبو داوود Group,زينب القرشي,Database,تحديث خادم قاعدة البيانات إلى الإصدار الأحدث,29/07/2025,Complete,Medium,مريم خليل,9 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Compliance,NO,14/08/2025,Load Balancer,44,10,6.6,NO,NO,Medium,Low,0.343,0
